timestamp,open,high,low,close,volume
2025-09-25 13:00:00,0.1,0.85,0.1,0.7407,402403736.0
2025-09-25 14:00:00,0.7406,0.9534,0.7322,0.9284,235627447.4
2025-09-25 15:00:00,0.9272,0.958,0.8358,0.885,204131227.2
2025-09-25 16:00:00,0.8848,1.0775,0.8701,1.0501,251059595.9
2025-09-25 17:00:00,1.0503,1.058,0.9492,1.0362,142953322.2
2025-09-25 18:00:00,1.0359,1.1505,0.9897,1.0845,92415751.3
2025-09-25 19:00:00,1.0846,1.2304,1.0616,1.2282,69361685.7
2025-09-25 20:00:00,1.2278,1.2868,1.1808,1.2773,94277353.9
2025-09-25 21:00:00,1.277,1.3667,1.2173,1.3597,58781610.1
2025-09-25 22:00:00,1.3594,1.45,1.2852,1.3671,73060075.4
2025-09-25 23:00:00,1.3675,1.3873,1.21,1.2773,61618161.0
2025-09-26 00:00:00,1.2773,1.357,1.1918,1.2667,69606447.6
2025-09-26 01:00:00,1.2668,1.314,1.1972,1.2306,39905001.9
2025-09-26 02:00:00,1.2301,1.2323,1.1146,1.1768,53647481.0
2025-09-26 03:00:00,1.1768,1.2735,1.1517,1.2714,51195530.6
2025-09-26 04:00:00,1.2716,1.4167,1.2548,1.3916,74609578.7
2025-09-26 05:00:00,1.3912,1.4264,1.2051,1.21,83936877.7
2025-09-26 06:00:00,1.2093,1.3042,1.1801,1.2362,84714683.1
2025-09-26 07:00:00,1.2363,1.2869,1.1733,1.198,39399121.9
2025-09-26 08:00:00,1.1982,1.3141,1.1614,1.2843,54124016.0
2025-09-26 09:00:00,1.284,1.297,1.2124,1.2202,30112832.5
2025-09-26 10:00:00,1.2201,1.236,1.1676,1.2088,29144579.5
2025-09-26 11:00:00,1.2087,1.2144,1.1357,1.1801,29821294.1
2025-09-26 12:00:00,1.1798,1.2141,1.1153,1.1619,51629479.8
2025-09-26 13:00:00,1.1619,1.2489,1.1445,1.2127,50406670.6
2025-09-26 14:00:00,1.2125,1.2571,1.1723,1.2148,24802553.6
2025-09-26 15:00:00,1.2147,1.2721,1.2058,1.2278,28896433.5
2025-09-26 16:00:00,1.2275,1.344,1.2124,1.3224,38918066.9
2025-09-26 17:00:00,1.3224,1.3698,1.3001,1.3542,36657544.4
2025-09-26 18:00:00,1.3543,1.3911,1.3116,1.3195,25631515.5
2025-09-26 19:00:00,1.3197,1.3259,1.2403,1.2491,27637480.6
2025-09-26 20:00:00,1.2494,1.2699,1.2025,1.2262,30612121.9
2025-09-26 21:00:00,1.226,1.2493,1.219,1.2468,14239400.0
2025-09-26 22:00:00,1.2468,1.2601,1.2032,1.211,19021373.3
2025-09-26 23:00:00,1.2113,1.2248,1.1512,1.2219,21744461.2
2025-09-27 00:00:00,1.2218,1.254,1.192,1.2457,21613219.0
2025-09-27 01:00:00,1.2455,1.3411,1.2445,1.3245,40526220.5
2025-09-27 02:00:00,1.3245,1.36,1.2957,1.3235,25663583.0
2025-09-27 03:00:00,1.3236,1.4103,1.3158,1.3695,35376651.7
2025-09-27 04:00:00,1.3694,1.4514,1.3646,1.393,30438208.2
2025-09-27 05:00:00,1.393,1.54,1.3407,1.5277,37608204.5
2025-09-27 06:00:00,1.5278,1.5799,1.4834,1.5409,45478392.2
2025-09-27 07:00:00,1.5407,1.6123,1.5008,1.5181,50294859.2
2025-09-27 08:00:00,1.518,1.5468,1.4679,1.4824,33926238.8
2025-09-27 09:00:00,1.4824,1.5123,1.4247,1.4919,30765771.1
2025-09-27 10:00:00,1.4919,1.5181,1.4463,1.4611,20018199.1
2025-09-27 11:00:00,1.461,1.512,1.4472,1.4774,19977810.9
2025-09-27 12:00:00,1.4773,1.4798,1.3984,1.4551,31414647.5
2025-09-27 13:00:00,1.4549,1.4602,1.384,1.4338,24769936.2
2025-09-27 14:00:00,1.4339,1.5093,1.43,1.486,26708970.6
2025-09-27 15:00:00,1.486,1.5134,1.4749,1.4851,22731784.2
2025-09-27 16:00:00,1.4852,1.55,1.4552,1.4927,29001825.6
2025-09-27 17:00:00,1.4924,1.5843,1.4853,1.5714,20952076.2
2025-09-27 18:00:00,1.5713,1.5965,1.5331,1.5503,18814970.6
2025-09-27 19:00:00,1.5502,1.6299,1.5174,1.5837,24077611.8
2025-09-27 20:00:00,1.5834,1.65,1.5589,1.621,18518451.0
2025-09-27 21:00:00,1.6211,1.6708,1.6056,1.6333,20486084.0
2025-09-27 22:00:00,1.6333,1.6421,1.5729,1.583,15084936.0
2025-09-27 23:00:00,1.5829,1.6349,1.5649,1.629,10972093.9
2025-09-28 00:00:00,1.6288,1.6799,1.5918,1.6304,21951654.0
2025-09-28 01:00:00,1.6303,1.693,1.6283,1.6766,17428644.0
